@type,spec
@name,RFC
@version,2557
@references,rfc2557
@copyright,Copyright (C) 2012 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,implemented,tests,comments

4.1,Content-Location Syntax,,no,no,
4.2,Content-Location Header,,no,no,
4.3,URIs of MHTML aggregates,,no,no,
6,text/html Content-Type,,0.2,0.2,Individual HTML document.
7,multipart/related Content-Type,,0.2,0.2,Aggregated HTML document.
8.2,URIs resolution,,no,no,
8.3,Content-ID Header,,no,no,
