@type,css-spec
@name,CSS
@status,completed
@w3c-status,REC
@version,2.1
@references,css21
@copyright,Copyright (C) 2013 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,model,parser,tests,comments

12.5.1,decimal-leading-zero,,no,no,no,
12.5.1,lower-roman,,no,no,no,
12.5.1,upper-roman,,no,no,no,
12.5.1,lower-greek,,no,no,no,
12.5.1,lower-latin,,no,no,no,
12.5.1,upper-latin,,no,no,no,
12.5.1,armenian,,no,no,no,
12.5.1,georgian,,no,no,no,
12.5.1,lower-alpha,,no,no,no,
12.5.1,upper-alpha,,no,no,no,
12.5.1,none,,no,no,no,
12.5.1,list-style-image,,no,no,no,
12.5.1,list-style-position,,no,no,no,
12.5.1,list-style,,no,no,no,
13.2,@page,,no,no,no,
13.3.1,page-break-before,,no,no,no,
13.3.1,page-break-after,,no,no,no,
13.3.1,page-break-inside,,no,no,no,
13.3.2,orphans,,no,no,no,
13.3.2,widows,,no,no,no,
14.1,color,,no,no,no,
14.2.1,background-color,,no,no,no,
14.2.1,background-image,,no,no,no,
14.2.1,background-repeat,,no,no,no,
14.2.1,background-attachment,,no,no,no,
14.2.1,background-position,,no,no,no,
14.2.1,background,,no,no,no,
15.3,font-family,,no,no,no,
15.4,font-style,,no,no,no,
15.5,font-variant,,no,no,no,
15.6,font-weight,,no,no,no,
15.7,font-size,,no,no,no,
15.8,font,,no,no,no,
16.1,text-indent,,no,no,no,
16.2,text-align,,no,no,no,
16.3.1,text-decoration,,no,no,no,
16.4,letter-spacing,,no,no,no,
16.4,word-spacing,,no,no,no,
16.5,text-transform,,no,no,no,
16.6,white-space,,no,no,no,
17.4.1,caption-side,,no,no,no,
17.5.2,table-layout,,no,no,no,
17.6,border-collapse,,no,no,no,
17.6.1,border-spacing,,no,no,no,
17.6.1.1,empty-cells,,no,no,no,
18.1,cursor,,no,no,no,
18.4,outline,,no,no,no,
18.4,outline-width,,no,no,no,
18.4,outline-style,,no,no,no,
18.4,outline-color,,no,no,no,
A.2.1,deg,,no,no,no,
A.2.1,grad,,no,no,no,
A.2.1,rad,,no,no,no,
A.2.2,ms,,no,no,no,
A.2.2,s,,no,no,no,
A.2.3,Hz,,no,no,no,
A.2.3,kHz,,no,no,no,
A.3,volume,,no,no,no,
A.4,speak,,no,no,no,
A.5,pause-before,,no,no,no,
A.5,pause-after,,no,no,no,
A.5,pause,,no,no,no,
A.6,cue-before,,no,no,no,
A.6,cue-after,,no,no,no,
A.6,cue,,no,no,no,
A.7,play-during,,no,no,no,
A.8,azimuth,,no,no,no,
A.8,elevation,,no,no,no,
A.9,speech-rate,,no,no,no,
A.9,voice-family,,no,no,no,
A.9,pitch,,no,no,no,
A.9,pitch-range,,no,no,no,
A.9,stress,,no,no,no,
A.9,richness,,no,no,no,
A.10,speak-punctuation,,no,no,no,
A.10,speak-numeral,,no,no,no,
A.11.1,speak-header,,no,no,no,
