@type,css-index
@name,CSS
@version,3.0
@categories,value atrule property function
@references,css21 css3counterstyles css3fonts css3units
@copyright,Copyright (C) 2013 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# item,url,implemented,spec

[Specifications]

font-size-adjust,css3fonts.csv,no,Fonts Level 3
font-stretch,css3fonts.csv,no,Fonts Level 3
font-style,css3fonts.csv,*0.11,Fonts Level 3
font-synthesis,css3fonts.csv,no,Fonts Level 3
font-variant-alternates,css3fonts.csv,no,Fonts Level 3
font-variant-caps,css3fonts.csv,*0.11,Fonts Level 3
font-variant-east-asian,css3fonts.csv,no,Fonts Level 3
font-variant-ligatures,css3fonts.csv,no,Fonts Level 3
font-variant-numeric,css3fonts.csv,no,Fonts Level 3
font-variant-position,css3fonts.csv,no,Fonts Level 3
font-variant,css3fonts.csv,*0.11,Fonts Level 3
font-weight,css3fonts.csv,*0.11,Fonts Level 3
height,css21.csv,no,CSS Level 2 Revision 1
left,css21.csv,no,CSS Level 2 Revision 1
letter-spacing,css21.csv,no,CSS Level 2 Revision 1
line-height,css21.csv,no,CSS Level 2 Revision 1
list-style,css21.csv,no,CSS Level 2 Revision 1
list-style-image,css21.csv,no,CSS Level 2 Revision 1
list-style-position,css21.csv,no,CSS Level 2 Revision 1
list-style-type,css21.csv,no,CSS Level 2 Revision 1
margin,css21.csv,no,CSS Level 2 Revision 1
margin-bottom,css21.csv,*0.11,CSS Level 2 Revision 1
margin-left,css21.csv,*0.11,CSS Level 2 Revision 1
margin-right,css21.csv,*0.11,CSS Level 2 Revision 1
margin-top,css21.csv,*0.11,CSS Level 2 Revision 1
max-height,css21.csv,no,CSS Level 2 Revision 1
max-width,css21.csv,no,CSS Level 2 Revision 1
min-height,css21.csv,no,CSS Level 2 Revision 1
min-width,css21.csv,no,CSS Level 2 Revision 1
negative,css3counterstyles.csv,*0.12,Counter Styles Level 3
orphans,css21.csv,no,CSS Level 2 Revision 1
outline,css21.csv,no,CSS Level 2 Revision 1
outline-color,css21.csv,no,CSS Level 2 Revision 1
outline-style,css21.csv,no,CSS Level 2 Revision 1
outline-width,css21.csv,no,CSS Level 2 Revision 1
overflow,css21.csv,no,CSS Level 2 Revision 1
padding,css21.csv,no,CSS Level 2 Revision 1
padding-bottom,css21.csv,no,CSS Level 2 Revision 1
padding-left,css21.csv,no,CSS Level 2 Revision 1
padding-right,css21.csv,no,CSS Level 2 Revision 1
padding-top,css21.csv,no,CSS Level 2 Revision 1
page-break-after,css21.csv,no,CSS Level 2 Revision 1
page-break-before,css21.csv,no,CSS Level 2 Revision 1
page-break-inside,css21.csv,no,CSS Level 2 Revision 1
pause,css21.csv,no,CSS Level 2 Revision 1
pause-after,css21.csv,no,CSS Level 2 Revision 1
pause-before,css21.csv,no,CSS Level 2 Revision 1
pitch,css21.csv,no,CSS Level 2 Revision 1
pitch-range,css21.csv,no,CSS Level 2 Revision 1
play-during,css21.csv,no,CSS Level 2 Revision 1
position,css21.csv,no,CSS Level 2 Revision 1
prefix,css3counterstyles.csv,0.12,Counter Styles Level 3
quotes,css21.csv,no,CSS Level 2 Revision 1
range,css3counterstyles.csv,*0.12,Counter Styles Level 3
right,css21.csv,no,CSS Level 2 Revision 1
speak,css21.csv,no,CSS Level 2 Revision 1
speech-rate,css21.csv,no,CSS Level 2 Revision 1
src,css3fonts.csv,no,Fonts Level 3
suffix,css3counterstyles.csv,0.12,Counter Styles Level 3
symbols,css3counterstyles.csv,0.12,Counter Styles Level 3
system,css3counterstyles.csv,*0.12,Counter Styles Level 3
table-layout,css21.csv,no,CSS Level 2 Revision 1
text-align,css21.csv,*0.11,CSS Level 2 Revision 1
text-decoration,css21.csv,*0.11,CSS Level 2 Revision 1
text-indent,css21.csv,no,CSS Level 2 Revision 1
text-transform,css21.csv,no,CSS Level 2 Revision 1
top,css21.csv,no,CSS Level 2 Revision 1
unicode-bidi,css21.csv,no,CSS Level 2 Revision 1
unicode-range,css3fonts.csv,no,Fonts Level 3
vertical-align,css21.csv,*0.11,CSS Level 2 Revision 1
visibility,css21.csv,no,CSS Level 2 Revision 1
voice-family,css21.csv,no,CSS Level 2 Revision 1
volume,css21.csv,no,CSS Level 2 Revision 1
white-space,css21.csv,no,CSS Level 2 Revision 1
widows,css21.csv,no,CSS Level 2 Revision 1
width,css21.csv,no,CSS Level 2 Revision 1
word-spacing,css21.csv,no,CSS Level 2 Revision 1
z-index,css21.csv,no,CSS Level 2 Revision 1

[Functions]

attr(),css3units.csv,no,Values and Units Level 3
calc(),css3units.csv,no,Values and Units Level 3
counter(),css21.csv,no,CSS Level 2 Revision 1
rgb(),css21.csv,no,CSS Level 2 Revision 1
symbols(),css3counterstyles.csv,no,Counter Styles Level 3
toggle(),css3units.csv,no,Values and Units Level 3
url(),css3units.csv,no,Values and Units Level 3

[Selectors]

*,css21.csv,no,CSS Level 2 Revision 1
E,css21.csv,no,CSS Level 2 Revision 1
E F,css21.csv,no,CSS Level 2 Revision 1
E > F,css21.csv,no,CSS Level 2 Revision 1
E + F,css21.csv,no,CSS Level 2 Revision 1
\[att],css21.csv,no,CSS Level 2 Revision 1
\[att=val],css21.csv,no,CSS Level 2 Revision 1
\[att~=val],css21.csv,no,CSS Level 2 Revision 1
\[att|=val],css21.csv,no,CSS Level 2 Revision 1
.classname,css21.csv,no,CSS Level 2 Revision 1
\#idname,css21.csv,no,CSS Level 2 Revision 1

:active,css21.csv,no,CSS Level 2 Revision 1
:after,css21.csv,no,CSS Level 2 Revision 1
:before,css21.csv,no,CSS Level 2 Revision 1
:first-child,css21.csv,no,CSS Level 2 Revision 1
:first-letter,css21.csv,no,CSS Level 2 Revision 1
:first-line,css21.csv,no,CSS Level 2 Revision 1
:focus,css21.csv,no,CSS Level 2 Revision 1
:hover,css21.csv,no,CSS Level 2 Revision 1
:lang(tag),css21.csv,no,CSS Level 2 Revision 1
:link,css21.csv,no,CSS Level 2 Revision 1
:visited,css21.csv,no,CSS Level 2 Revision 1

[Counter Styles]

armenian,css3counterstyles.csv,0.12,Counter Styles Level 3
circle,css3counterstyles.csv,0.12,Counter Styles Level 3
cjk-decimal,css3counterstyles.csv,0.12,Counter Styles Level 3
cjk-ideographic,css3counterstyles.csv,no,Counter Styles Level 3
decimal,css3counterstyles.csv,0.11,Counter Styles Level 3
decimal-leading-zero,css3counterstyles.csv,0.12,Counter Styles Level 3
disc,css3counterstyles.csv,0.11,Counter Styles Level 3
ethiopic-numeric,css3counterstyles.csv,no,Counter Styles Level 3
georgian,css3counterstyles.csv,0.12,Counter Styles Level 3
hebrew,css3counterstyles.csv,0.12,Counter Styles Level 3
hiragana,css3counterstyles.csv,0.12,Counter Styles Level 3
hiragana-iroha,css3counterstyles.csv,0.12,Counter Styles Level 3
japanese-formal,css3counterstyles.csv,no,Counter Styles Level 3
japanese-informal,css3counterstyles.csv,no,Counter Styles Level 3
katakana,css3counterstyles.csv,0.12,Counter Styles Level 3
katakana-iroha,css3counterstyles.csv,0.12,Counter Styles Level 3
