@type,spec
@name,HTML Meta Tag
@version,
@copyright,Copyright (C) 2012 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,implemented,tests,comments

,@name=abstract,,0.8,0.8,dct:abstract
,@name=author,,0.8,0.8,dc:creator
,@name=cache-control,,na,na,
,@name=category,,no,no,
,@name=classification,,no,no,
,@name=copyright,,no,no,
,@name=coverage,,no,no,
,@name=description,,0.8,0.8,dc:description
,@name=designer,,no,no,
,@name=directory,,na,na,
,@name=distribution,,na,na,
,@name=expires,,na,na,
,@name=identifier-url,,no,no,
,@name=keywords,,0.8,0.8,dc:subject
,@name=language,,no,no,
,@name=owner,,no,no,
,@name=pragma,,na,na,
,@name=rating,,no,no,
,@name=reply-to,,no,no,
,@name=revised,,no,no,
,@name=revisit-after,,na,na,
,@name=robots,,na,na,
,@name=shs-author,,0.8,0.8,dc:creator
,@name=shs-keywords,,0.8,0.8,dc:subject
,@name=shs-part,,no,no,
,@name=shs-summary,,0.8,0.8,dc:description
,@name=shs-title,,0.8,0.8,dc:title
,@name=subject,,no,no,
,@name=summary,,no,no,
,@name=title,,no,no,
,@name=topic,,no,no,
,@name=url,,no,no,
